zero zero zero
zero zero zero
zero zero zero
zero zero zero

zero zero zero
zero zero zero
zero zero zero
zero zero zero

zero zero zero
zero zero zero
zero zero zero
zero zero zero

zero zero zero
zero zero zero
zero zero zero
zero zero zero

zero zero zero
zero zero zero
zero zero zero
zero zero zero

zero zero zero
zero zero zero
zero zero zero
zero zero zero

zero zero zero
zero zero zero
- 00 -62
- 00 -62

- 01 -62
- 10 -62
- 00 -61
- 00 -61

- 01 -61
- 10 -61
- 00 -60
- 00 -60

- 01 -60
- 10 -60
- 00 -59
- 00 -59

- 01 -59
- 10 -59
- 00 -58
- 00 -58

- 01 -58
- 10 -58
- 00 -57
- 00 -57

- 01 -57
- 10 -57
- 00 -56
- 00 -56

- 01 -56
- 10 -56
- 00 -55
- 00 -55

- 01 -55
- 10 -55
- 00 -54
- 00 -54

- 01 -54
- 10 -54
- 00 -53
- 00 -53

- 01 -53
- 10 -53
- 00 -52
- 00 -52

- 01 -52
- 10 -52
- 00 -51
- 00 -51

- 01 -51
- 10 -51
- 00 -50
- 00 -50

- 01 -50
- 10 -50
- 00 -49
- 00 -49

- 01 -49
- 10 -49
- 00 -48
- 00 -48

- 01 -48
- 10 -48
- 00 -47
- 00 -47

- 01 -47
- 10 -47
- 00 -46
- 00 -46

- 01 -46
- 10 -46
- 00 -45
- 00 -45

- 01 -45
- 10 -45
- 00 -44
- 00 -44

- 01 -44
- 10 -44
- 00 -43
- 00 -43

- 01 -43
- 10 -43
- 00 -42
- 00 -42

- 01 -42
- 10 -42
- 00 -41
- 00 -41

- 01 -41
- 10 -41
- 00 -40
- 00 -40

- 01 -40
- 10 -40
- 00 -39
- 00 -39

- 01 -39
- 10 -39
- 00 -38
- 00 -38

- 01 -38
- 10 -38
- 00 -37
- 00 -37

- 01 -37
- 10 -37
- 00 -36
- 00 -36

- 01 -36
- 10 -36
- 00 -35
- 00 -35

- 01 -35
- 10 -35
- 00 -34
- 00 -34

- 01 -34
- 10 -34
- 00 -33
- 00 -33

- 01 -33
- 10 -33
- 00 -32
- 00 -32

- 01 -32
- 10 -32
- 00 -31
- 00 -31

- 01 -31
- 10 -31
- 00 -30
- 00 -30

- 01 -30
- 10 -30
- 00 -29
- 00 -29

- 01 -29
- 10 -29
- 00 -28
- 00 -28

- 01 -28
- 10 -28
- 00 -27
- 00 -27

- 01 -27
- 10 -27
- 00 -26
- 00 -26

- 01 -26
- 10 -26
- 00 -25
- 00 -25

- 01 -25
- 10 -25
- 00 -24
- 00 -24

- 01 -24
- 10 -24
- 00 -23
- 00 -23

- 01 -23
- 10 -23
- 00 -22
- 00 -22

- 01 -22
- 10 -22
- 00 -21
- 00 -21

- 01 -21
- 10 -21
- 00 -20
- 00 -20

- 01 -20
- 10 -20
- 00 -19
- 00 -19

- 01 -19
- 10 -19
- 00 -18
- 00 -18

- 01 -18
- 10 -18
- 00 -17
- 00 -17

- 01 -17
- 10 -17
- 00 -16
- 00 -16

- 01 -16
- 10 -16
- 00 -15
- 00 -15

- 01 -15
- 10 -15
- 00 -14
- 00 -14

- 01 -14
- 10 -14
- 00 -13
- 00 -13

- 01 -13
- 10 -13
- 00 -12
- 00 -12

- 01 -12
- 10 -12
- 00 -11
- 00 -11

- 01 -11
- 10 -11
- 00 -10
- 00 -10

- 01 -10
- 10 -10
- 00 -9
- 00 -9

- 01 -9
- 10 -9
- 00 -8
- 00 -8

- 01 -8
- 10 -8
- 00 -7
- 00 -7

zero zero zero
- 01 -9
- 01 -8
- 00 -7

- 01 -6
- 10 -6
- 00 -5
- 00 -5

- 01 -5
- 10 -5
- 00 -4
- 00 -4

- 01 -4
- 10 -4
- 00 -3
- 00 -3

- 01 -3
- 10 -3
- 00 -2
- 00 -2

- 01 -2
- 10 -2
- 00 -1
- 00 -1

- 01 -1
- 10 -1
- 11 0
- 11 0

- 11 0
- 11 0
- 00 1
- 00 1

- 01 1
- 10 1
- 00 2
- 00 2

- 01 2
- 10 2
- 00 3
- 00 3

- 01 3
- 10 3
- 00 4
- 00 4

- 01 4
- 10 4
- 00 5
- 00 5

- 01 5
- 10 5
- 00 6
- 00 6

- 01 6
- 10 6
- 00 7
- 00 7

- 01 7
- 10 7
- 00 8
- 00 8

- 01 8
- 10 8
- 00 9
- 00 9

- 01 9
- 10 9
- 00 10
- 00 10

- 01 10
